3229,-0.003139
3229.5,0.006705
3230,0.017083
3230.5,0.027284
3231,0.037073
3231.5,0.046322
3232,0.05488
3232.5,0.062793
3233,0.07016
3233.5,0.076819
3234,0.082904
3234.5,0.088828
3235,0.094721
3235.5,0.100342
3236,0.105476
3236.5,0.110141
3237,0.114388
3237.5,0.118432
3238,0.12197
3238.5,0.124117
3239,0.123458
3239.5,0.118471
3240,0.108263
3240.5,0.092927
3241,0.073936
3241.5,0.053908
3242,0.035587
3242.5,0.020389
3243,0.007554
3243.5,-0.004926
3244,-0.01852
3244.5,-0.03322
3245,-0.047675
3245.5,-0.059868
3246,-0.06794
3246.5,-0.070659
3247,-0.067985
3247.5,-0.061272
3248,-0.053152
3248.5,-0.046591
3249,-0.043485
3249.5,-0.04344
3250,-0.044099
3250.5,-0.042775
3251,-0.037578
3251.5,-0.027982
3252,-0.014541
3252.5,0.00178
3253,0.01993
3253.5,0.038468
3254,0.055545
3254.5,0.069292
3255,0.078396
3255.5,0.082118
3256,0.080044
3256.5,0.072428
3257,0.060563
3257.5,0.046232
3258,0.031015
3258.5,0.015733
3259,0.000357
3259.5,-0.015258
3260,-0.030736
3260.5,-0.04486
3261,-0.055976
3261.5,-0.063034
3262,-0.065816
3262.5,-0.06486
3263,-0.06133
3263.5,-0.056512
3264,-0.051498
3264.5,-0.046473
3265,-0.040557
3265.5,-0.032642
3266,-0.022268
3266.5,-0.010032
3267,0.002482
3267.5,0.013405
3268,0.021608
3268.5,0.027173
3269,0.0314
3269.5,0.035959
3270,0.041436
3270.5,0.046838
3271,0.050187
3271.5,0.049831
3272,0.045361
3272.5,0.037907
3273,0.02964
3273.5,0.022386
3274,0.016485
3274.5,0.011096
3275,0.005127
3275.5,-0.002114
3276,-0.010926
3276.5,-0.020755
3277,-0.030484
3277.5,-0.039487
3278,-0.047643
3278.5,-0.054882
3279,-0.060556
3279.5,-0.063192
3280,-0.060648
3280.5,-0.051367
3281,-0.035714
3281.5,-0.016649
3282,0.001247
3282.5,0.013687
3283,0.018467
3283.5,0.016214
3284,0.009227
3284.5,0.000555
3285,-0.006588
3285.5,-0.009694
3286,-0.007717
3286.5,-0.001296
3287,0.007661
3287.5,0.016887
3288,0.024195
3288.5,0.027971
3289,0.027597
3289.5,0.023528
3290,0.016928
3290.5,0.008732
3291,-0.00024
3291.5,-0.00916
3292,-0.017492
3292.5,-0.024953
3293,-0.031637
3293.5,-0.037768
3294,-0.043257
3294.5,-0.047978
3295,-0.05161
3295.5,-0.053814
3296,-0.054452
3296.5,-0.053478
3297,-0.051026
3297.5,-0.047271
3298,-0.042858
3298.5,-0.038754
3299,-0.035632
3299.5,-0.032845
3300,-0.028928
3300.5,-0.022713
3301,-0.013754
3301.5,-0.002579
3302,0.009725
3302.5,0.022356
3303,0.035133
3303.5,0.048121
3304,0.061075
3304.5,0.072428
3305,0.079468
3305.5,0.079869
3306,0.073162
3306.5,0.061076
3307,0.04655
3307.5,0.032038
3308,0.018617
3308.5,0.006466
3309,-0.004513
3309.5,-0.01435
3310,-0.022993
3310.5,-0.030993
3311,-0.039678
3311.5,-0.050001
3312,-0.061148
3312.5,-0.07095
3313,-0.07711
3313.5,-0.077898
3314,-0.072299
3314.5,-0.060627
3315,-0.044662
